fecha,aerolinea,vuelos,pasajeros,asientos,ocupacion
2023-01-01,LADE - Líneas Aéreas Del Estado,117,1397,4205,34
2023-02-01,Aerolíneas Argentinas,6647,785046,932502,85
2023-02-01,Flybondi,1453,259753,274614,95
2023-02-01,JetSMART Airlines,1143,187923,212502,89
2023-02-01,LADE - Líneas Aéreas Del Estado,91,1033,3298,32
2023-03-01,Aerolíneas Argentinas,8010,873708,1104444,80
2023-03-01,Flybondi,1707,291323,322435,91
2023-03-01,JetSMART Airlines,1263,196087,234785,84
2023-03-01,LADE - Líneas Aéreas Del Estado,143,1330,5209,26
2023-04-01,Aerolíneas Argentinas,7312,830441,1028219,81
2023-04-01,Flybondi,1730,284873,326857,88
2023-04-01,JetSMART Airlines,1254,196188,233128,85
2023-04-01,LADE - Líneas Aéreas Del Estado,109,1161,3687,32
2023-05-01,Aerolíneas Argentinas,7525,871187,1067770,82
2023-05-01,Flybondi,1685,278979,318428,88
2023-05-01,JetSMART Airlines,1367,209652,254122,83
2023-05-01,LADE - Líneas Aéreas Del Estado,111,1100,3934,28
2023-06-01,Aerolíneas Argentinas,7437,905083,1067970,85
2023-06-01,Flybondi,1598,269045,301997,90
2023-06-01,JetSMART Airlines,1294,209104,240503,87
2023-06-01,LADE - Líneas Aéreas Del Estado,95,1021,3413,30
2023-07-01,Aerolíneas Argentinas,8160,1001824,1157467,87
2023-07-01,Flybondi,1686,293543,318562,93
2023-07-01,JetSMART Airlines,1536,248630,285419,88
2023-07-01,LADE - Líneas Aéreas Del Estado,97,1394,3652,39
2023-08-01,Aerolíneas Argentinas,7714,924971,1102572,84
2023-08-01,Flybondi,1923,324343,363391,90
2023-08-01,JetSMART Airlines,1471,239671,273467,88
2023-08-01,LADE - Líneas Aéreas Del Estado,92,1186,3633,33
2023-09-01,Aerolíneas Argentinas,7501,897002,1053786,86
2023-09-01,Flybondi,1699,295294,320949,93
2023-09-01,JetSMART Airlines,1383,227557,257077,89
