ds;aerolinea;yhat;yhat_lower;yhat_upper
2022-07-31;Andes Líneas Aéreas;11215,330416598194;-19939,68791935498;38301,16652698284
2022-08-31;Andes Líneas Aéreas;13104,9976146249;-16087,754539661024;44685,383534197055
2022-09-30;Andes Líneas Aéreas;10352,115469381346;-20057,446978322634;39129,70942896927
2022-10-31;Andes Líneas Aéreas;6615,717404527528;-23742,713389843488;35849,12606368534
2022-11-30;Andes Líneas Aéreas;-257,68096729319063;-30409,997405044574;32106,232345469074
2022-12-31;Andes Líneas Aéreas;4382,784465978085;-23648,45720563506;33482,61882511263
2023-01-31;Andes Líneas Aéreas;4481,9338769669375;-27622,467042310265;33491,33446129236
2023-02-28;Andes Líneas Aéreas;924,497429049391;-28814,235217032518;31078,62466298635
2023-03-31;Andes Líneas Aéreas;-2914,076890838487;-32608,97145686861;26152,3764474977
2023-04-30;Andes Líneas Aéreas;-13745,233025484511;-43091,26372877954;15622,129357315316
2023-05-31;Andes Líneas Aéreas;-13767,280340407438;-42218,30430547256;15329,922909796576
2023-06-30;Andes Líneas Aéreas;-14818,65077685833;-46266,88473328701;13509,160029441358
2023-07-31;Andes Líneas Aéreas;1930,276493585182;-26065,08776575007;31857,023153899903
2023-08-31;Andes Líneas Aéreas;3141,194120909612;-26102,18336506278;33389,54425516106
2023-09-30;Andes Líneas Aéreas;-372,58700489244893;-28297,675234320184;29538,32844154169
2023-10-31;Andes Líneas Aéreas;-4108,956875521172;-33070,55794320252;25762,949399256937
2023-11-30;Andes Líneas Aéreas;-12710,259837714537;-44557,25829023397;17078,130911273794
2023-12-31;Andes Líneas Aéreas;-6453,075245121302;-36905,67566635412;24011,11952352484
2024-01-31;Andes Líneas Aéreas;-6405,870382693524;-36395,635510455366;22516,889656357016
2024-02-29;Andes Líneas Aéreas;-16322,217351269835;-45559,23090010556;11254,21340419338
2024-03-31;Andes Líneas Aéreas;-16729,21829693279;-47339,08086288022;9967,891251957348
2024-04-30;Andes Líneas Aéreas;-15948,098132065705;-45781,887376854735;14507,707360424734
2024-05-31;Andes Líneas Aéreas;-23965,45784241608;-53030,10617103953;4566,949188261894
2024-06-30;Andes Líneas Aéreas;-23950,73598374305;-54216,86818496252;7675,898441425722
2024-07-31;Andes Líneas Aéreas;-13063,412352040905;-43512,89500329654;16330,063827710375
2024-08-31;Andes Líneas Aéreas;-9944,028835605877;-39973,60370490034;18576,484012267443
2024-09-30;Andes Líneas Aéreas;-11202,382633217381;-40082,7769362145;18821,46552865866
2024-10-31;Andes Líneas Aéreas;-14954,36990348929;-45229,36855261128;16430,554474384382
2024-11-30;Andes Líneas Aéreas;-18258,70726620652;-48427,48090587031;12847,839828515494
2024-12-31;Andes Líneas Aéreas;-16757,577557580338;-45744,879521902134;13151,242166850961
2017-01-31;Avianca;47030,20652609297;26187,768043036278;64989,19250445132
2017-02-28;Avianca;47506,52431804367;28111,22262467438;66180,28388545659
2017-03-31;Avianca;45943,05556380275;26007,051040465227;65799,1970629315
2017-04-30;Avianca;41343,459829924934;22585,87236241678;61413,48823948553
2017-05-31;Avianca;38896,59953761679;18166,155356565858;57676,06686924566
2017-06-30;Avianca;37941,36061684235;20195,53789493374;58338,36530334777
2017-07-31;Avianca;38740,24376249708;19592,214287736642;58803,51924313169
2017-08-31;Avianca;39452,95882606211;20391,53972536829;58440,46451076133
2017-09-30;Avianca;38738,91043753088;19373,361646733403;55879,55112879622
2017-10-31;Avianca;39418,59040954643;20395,968558440207;59572,48751096115
2017-11-30;Avianca;41825,83793426517;23293,45166484915;61019,071461353145
2017-12-31;Avianca;43437,05069978297;24100,519917517806;63119,75759319708
2018-01-31;Avianca;44066,24339110687;25482,381200283522;63824,14048876689
2018-02-28;Avianca;40306,10308361604;19115,742770638877;59537,05107200645
2018-03-31;Avianca;41150,884021836304;20880,19653221171;61069,60516038068
2018-04-30;Avianca;37628,757325622006;18769,008829442933;56395,49733622648
2018-05-31;Avianca;37908,878768725765;18735,347688244456;58684,37776759503
2018-06-30;Avianca;32998,441167606376;13547,639251911063;52569,90000116353
2018-07-31;Avianca;33755,12282401897;14118,77821470762;52646,72692813357
2018-08-31;Avianca;34053,6378514077;14564,932085406;53551,49090610888
2018-09-30;Avianca;33522,29517953092;12657,788763065575;53933,9937151623
2018-10-31;Avianca;35947,271462812474;14253,068173238145;56748,569050246246
2018-11-30;Avianca;38895,67388457945;20080,02642264567;59479,17026338066
2018-12-31;Avianca;39481,4831043537;19947,3592850993;59017,24633955852
2019-01-31;Avianca;41048,05272421958;21185,60774225374;61848,92319510286
2019-02-28;Avianca;33097,503873492504;13663,869643284102;53192,18475578642
2019-03-31;Avianca;36420,06223021384;15258,709472516493;56305,554378116525
2019-04-30;Avianca;33977,76426636694;13300,348793384466;54140,36959809903
2019-05-31;Avianca;36906,61800441927;17825,864396419838;57405,019515321874
2019-06-30;Avianca;27989,11369931221;7824,207065037898;46704,52460487755
2019-07-31;Avianca;28740,744361851004;9349,558432544769;50022,3432842037
2019-08-31;Avianca;28652,767146044273;8762,289849660932;49545,84600913053
2019-09-30;Avianca;28348,76593266439;8712,0026534137;47716,05459674154
2019-10-31;Avianca;32521,51562691149;13052,420423786209;51538,232060160415
2019-11-30;Avianca;35962,944035155095;15490,567805073248;55294,798246867555
2019-12-31;Avianca;35504,30882946981;14803,542548689138;55193,835226405725
2020-01-31;Avianca;37974,72132627342;18213,993828606497;59286,5273831944
2020-02-29;Avianca;37718,78148408824;17939,281491887967;56248,66555072822
2020-03-31;Avianca;33818,841660363396;14910,662899556184;53853,41347644126
2020-04-30;Avianca;28147,06932121599;8667,164338522645;48878,44428501153
2020-05-31;Avianca;22897,517117615207;4260,944362602566;42306,34057800969
2020-06-30;Avianca;25841,543197202463;5716,939813885973;46019,010595276166
2020-07-31;Avianca;26718,600779154673;6851,355539651772;46108,779356361876
2020-08-31;Avianca;27872,722064275415;8527,943900759437;48560,57382538519
2020-09-30;Avianca;27021,425343748815;6695,756298794758;48243,33525744279
2020-10-31;Avianca;25961,016820548277;4266,034390519168;44071,682210696585
2020-11-30;Avianca;27780,416286577514;8534,85143486381;46455,40467168964
2020-12-31;Avianca;30397,518711432167;10043,650297437029;50571,39055391186
